№,Код АТЕ,Название АТЕ
1,10,Агрызский район
2,11,Азнакаевский район
3,12,Аксубаевский район
4,13,Актанышский район
5,14,Алексеевский район
6,15,Алькеевский район
7,16,Альметьевский район
8,17,Апастовский район
9,18,Арский район
10,19,Атнинский район
11,20,Бавлинский район
12,21,Балтасинский район
13,22,Бугульминский район
14,23,Буинский район
15,24,Верхнеуслонский район
16,25,Высокогорский район
17,26,Набережные Челны
18,27,Дрожжановский район
19,28,Елабужский район
20,29,Заинский район
21,30,Зеленодольский район
22,31,Кайбицкий район
23,32,Камско-Устьинский район
24,33,Кукморский район
25,34,Лаишевский район
26,35,Лениногорский район
27,36,Мамадышский район
28,37,Менделеевский район
29,38,Мензелинский район
30,39,Муслюмовский район
31,40,Нижнекамский район
32,41,Новошешминский район
33,42,Нурлатский район
34,43,Пестречинский район
35,44,Рыбно-Слободский район
36,45,Сабинский район
37,46,Сармановский район
38,47,Спасский район
39,48,Тетюшский район
40,49,Тукаевский район
41,50,Тюлячинский район
42,51,Черемшанский район
43,52,Чистопольский район
44,53,Ютазинский район
45,54,Авиастроительный-Ново-Савиновский
46,55,Вахитовский-Приволжский
47,56,Кировский-Московский
49,60,Советский район
50,61,г. Казань
