№,Код АТЕ,Код МСУ,Название МСУ
1,10,10,Агрызский район
2,11,11,Азнакаевский район
3,12,12,Аксубаевский район
4,13,13,Актанышский район
5,14,14,Алексеевский район
6,15,15,Алькеевский район
7,16,16,Альметьевский район
8,17,17,Апастовский район
9,18,18,Арский район
10,19,19,Атнинский район
11,20,20,Бавлинский район
12,21,21,Балтасинский район
13,22,22,Бугульминский район
14,23,23,Буинский район
15,24,24,Верхнеуслонский район
16,25,25,Высокогорский район
17,26,26,Набережные Челны
18,27,27,Дрожжановский район
19,28,28,Елабужский район
20,29,29,Заинский район
21,30,30,Зеленодольский район
22,31,31,Кайбицкий район
23,32,32,Камско-Устьинский район
24,33,33,Кукморский район
25,34,34,Лаишевский район
26,35,35,Лениногорский район
27,36,36,Мамадышский район
28,37,37,Менделеевский район
29,38,38,Мензелинский район
30,39,39,Муслюмовский район
31,40,40,Нижнекамский район
32,41,41,Новошешминский район
33,42,42,Нурлатский район
34,43,43,Пестречинский район
35,44,44,Рыбно-Слободский район
36,45,45,Сабинский район
37,46,46,Сармановский район
38,47,47,Спасский район
39,48,48,Тетюшский район
40,49,49,Тукаевский район
41,50,50,Тюлячинский район
42,51,51,Черемшанский район
43,52,52,Чистопольский район
44,53,53,Ютазинский район
45,54,54,Авиастроительный район
46,55,55,Вахитовский район
47,56,56,Кировский район
48,56,57,Московский район
49,54,58,Ново-Савиновский район
50,55,59,Приволжский район
51,60,60,Советский район
